state,state_code,indicator,nfhs5_urban,nfhs5_rural,nfhs5_total,nfhs4_total
India,,46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.6,75.4,78.0,62.4
India,,47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),3385.0,2770.0,2916.0,3197.0
India,,48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.8,4.3,4.2,2.5
India,,49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.7,76.5,79.1,
India,,50. Institutional births (%),93.8,86.7,88.6,78.9
India,,51. Institutional births in public facility (%),52.6,65.3,61.9,52.1
India,,52. Home births that were conducted by skilled health personnel10 (%),2.1,3.7,3.2,4.3
India,,53. Births attended by skilled health personnel10 (%),94.0,87.8,89.4,81.4
India,,54. Births delivered by caesarean section (%),32.3,17.6,21.5,17.2
India,,55. Births in a private health facility that were delivered by caesarean section (%),49.3,46.0,47.4,40.9
India,,56. Births in a public health facility that were delivered by caesarean section (%),22.7,11.9,14.3,11.9
India,,57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),75.5,76.8,76.4,62.0
India,,58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),83.3,84.0,83.8,77.9
India,,59. Children age 12-23 months who have received BCG (%),94.7,95.4,95.2,91.9
India,,60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),79.2,80.9,80.5,72.8
India,,61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),86.0,87.0,86.7,78.4
India,,62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.1,88.1,87.9,81.1
India,,63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.4,32.4,31.9,
India,,64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),34.9,37.0,36.4,
India,,65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83.0,84.2,83.9,62.8
India,,66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),71.8,71.0,71.2,64.5
India,,67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),87.7,97.0,94.5,90.7
India,,68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),11.1,1.6,4.2,7.2
India,,69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,7.7,7.3,9.2
India,,70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),62.5,60.1,60.6,50.6
India,,71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),31.5,30.3,30.5,20.3
India,,72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),72.2,68.0,68.9,67.9
India,,73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.3,3.0,2.8,2.7
India,,74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),72.7,67.8,69.0,73.2
India,,75. Children under age 3 years breastfed within one hour of birth15 (%),44.7,40.7,41.8,41.6
India,,76. Children under age 6 months exclusively breastfed16 (%),59.6,65.1,63.7,54.9
India,,77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),52.0,43.9,45.9,42.7
India,,"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",11.8,10.8,11.1,8.7
India,,"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",14.2,12.0,12.7,14.3
India,,"80. Total children age 6-23 months receiving an adequate diet16, 17  (%)",12.3,11.0,11.3,9.6
India,,81. Children under 5 years who are stunted (height-for-age)18 (%),30.1,37.3,35.5,38.4
India,,82. Children under 5 years who are wasted (weight-for-height)18 (%),18.5,19.5,19.3,21.0
India,,83. Children under 5 years who are severely wasted (weight-for-height)19 (%),7.6,7.7,7.7,7.5
India,,84. Children under 5 years who are underweight (weight-for-age)18 (%),27.3,33.8,32.1,35.8
India,,85. Children under 5 years who are overweight (weight-for-height)20 (%),4.2,3.2,3.4,2.1
India,,86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),13.2,21.2,18.7,22.9
India,,87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),13.0,17.8,16.2,20.2
India,,88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),33.2,19.7,24.0,20.6
India,,89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),29.8,19.3,22.9,18.9
India,,90. Women who have high risk waist-to-hip ratio (≥0.85) (%),59.9,55.2,56.7,
India,,91. Men who have high risk waist-to-hip ratio (≥0.90) (%),50.1,46.4,47.7,
India,,92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),64.2,68.3,67.1,58.6
India,,93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),54.1,58.7,57.2,53.2
India,,94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),45.7,54.3,52.2,50.4
India,,95. All women age 15-49 years who are anaemic22 (%),53.8,58.5,57.0,53.1
India,,96. All women age 15-19 years who are anaemic22 (%),56.5,60.2,59.1,54.1
India,,97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),20.4,27.4,25.0,22.7
India,,98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),25.0,33.9,31.1,29.2
India,,99. Blood sugar level - high (141-160 mg/dl)23 (%),6.7,5.9,6.1,
India,,100. Blood sugar level - very high (>160 mg/dl)23 (%),8.0,5.5,6.3,
India,,101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),16.3,12.3,13.5,
India,,102. Blood sugar level - high (141-160 mg/dl)23 (%),7.8,7.0,7.3,
India,,103. Blood sugar level - very high (>160 mg/dl)23 (%),8.5,6.5,7.2,
India,,104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),17.9,14.5,15.6,
India,,105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.6,11.9,12.4,
India,,106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),5.2,5.2,5.2,
India,,107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.6,20.2,21.3,
India,,108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.1,15.0,15.7,
India,,109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),5.9,5.5,5.7,
India,,110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.6,22.7,24.0,
India,,111. Ever undergone a screening test for cervical cancer (%),2.2,1.7,1.9,
India,,112. Ever undergone a breast examination for breast cancer (%),1.2,0.7,0.9,
India,,113. Ever undergone an oral cavity examination for oral cancer (%),1.2,0.8,0.9,
India,,114. Ever undergone an oral cavity examination for oral cancer (%),1.0,1.3,1.2,
India,,115. Women who have comprehensive knowledge24 of HIV/AIDS (%),28.6,18.2,21.6,20.9
India,,116. Men who have comprehensive knowledge24 of HIV/AIDS (%),37.5,27.1,30.7,32.5
India,,117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),76.1,64.7,68.4,54.9
India,,118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),86.4,79.6,82.0,77.4
India,,119. Currently married women who usually participate in three household decisions25 (%),91.0,87.7,88.7,84.0
India,,120. Women who worked in the last 12 months and were paid in cash (%),25.0,25.6,25.4,24.6
India,,121. Women owning a house and/or land (alone or jointly with others) (%),38.3,45.7,43.3,38.4
India,,122. Women having a bank or savings account that they themselves use (%),80.9,77.4,78.6,53.0
India,,123. Women having a mobile phone that they themselves use (%),69.4,46.6,54.0,45.9
India,,124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%),89.4,72.3,77.3,57.6
India,,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),24.2,31.6,29.3,31.2
India,,126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,3.4,3.1,3.9
India,,127. Young women age 18-29 years who experienced sexual violence by age 18 (%),1.1,1.6,1.5,1.5
India,,128. Women age 15 years and above who use any kind of tobacco (%),5.4,10.5,8.9,
India,,129. Men age 15 years and above who use any kind of tobacco (%),28.8,42.7,38.0,
India,,130. Women age 15 years and above who consume alcohol (%),0.6,1.6,1.3,
India,,131. Men age 15 years and above who consume alcohol (%),16.5,19.9,18.8,
Andaman & Nicobar Islands,AN,1. Female population age 6 years and above who ever attended school (%),86.5,81.8,83.5,84.7
Andaman & Nicobar Islands,AN,2. Population below age 15 years (%),22.7,19.7,20.8,23.9
Andaman & Nicobar Islands,AN,"3. Sex ratio of the total population (females per 1,000 males)",1023.0,929.0,963.0,977.0
Andaman & Nicobar Islands,AN,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",941.0,891.0,914.0,859.0
Andaman & Nicobar Islands,AN,5. Children under age 5 years whose birth was registered with the civil authority (%),96.9,97.8,97.4,97.9
Andaman & Nicobar Islands,AN,6. Deaths in the last 3 years registered with the civil authority (%),94.8,88.8,90.9,
Andaman & Nicobar Islands,AN,7. Population living in households with electricity (%),99.5,96.5,97.6,97.2
Andaman & Nicobar Islands,AN,8. Population living in households with an improved drinking-water source1 (%),98.0,95.3,96.3,95.0
Andaman & Nicobar Islands,AN,9. Population living in households that use an improved sanitation facility2 (%),88.0,88.0,88.0,75.4
Andaman & Nicobar Islands,AN,10. Households using clean fuel for cooking3 (%),95.6,71.0,79.8,63.5
Andaman & Nicobar Islands,AN,11. Households using iodized salt (%),99.7,99.7,99.7,99.3
Andaman & Nicobar Islands,AN,12. Households with any usual member covered under a health insurance/financing scheme (%),1.4,1.6,1.6,5.7
Andaman & Nicobar Islands,AN,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),,33.7,42.6,
Andaman & Nicobar Islands,AN,14. Women who are literate4 (%),86.6,85.6,86.0,
Andaman & Nicobar Islands,AN,15. Men who are literate4 (%),89.3,94.7,92.5,
Andaman & Nicobar Islands,AN,16. Women with 10 or more years of schooling (%),59.7,47.6,52.5,49.1
Andaman & Nicobar Islands,AN,17. Men with 10 or more years of schooling (%),59.4,47.7,52.3,52.6
Andaman & Nicobar Islands,AN,18. Women who have ever used the internet (%),44.1,27.9,34.8,
Andaman & Nicobar Islands,AN,19. Men who have ever used the internet (%),54.6,41.1,46.5,
Andaman & Nicobar Islands,AN,20. Women age 20-24 years married before age 18 years (%),17.4,15.3,16.2,16.4
Andaman & Nicobar Islands,AN,21. Men age 25-29 years married before age 21 years (%),,5.8,7.1,9.7
Andaman & Nicobar Islands,AN,22. Total fertility rate (children per woman),1.4,1.2,1.3,1.4
Andaman & Nicobar Islands,AN,23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.5,4.0,3.0,4.7
Andaman & Nicobar Islands,AN,24. Adolescent fertility rate for women age 15-19 years5,36.0,13.0,22.0,28.0
Andaman & Nicobar Islands,AN,25. Neonatal mortality rate (NNMR),,2.8,12.3,7.3
Andaman & Nicobar Islands,AN,26. Infant mortality rate (IMR),,8.4,20.6,9.8
Andaman & Nicobar Islands,AN,27. Under-five mortality rate (U5MR),,9.5,24.5,13.0
Andaman & Nicobar Islands,AN,28. Any method6 (%),54.4,73.4,65.8,50.8
Andaman & Nicobar Islands,AN,29. Any modern method6 (%),48.5,63.9,57.7,48.3
Andaman & Nicobar Islands,AN,30. Female sterilization (%),31.0,44.6,39.2,39.9
Andaman & Nicobar Islands,AN,31. Male sterilization (%),0.0,0.3,0.2,0.0
Andaman & Nicobar Islands,AN,32. IUD/PPIUD (%),2.2,5.0,3.9,2.1
Andaman & Nicobar Islands,AN,33. Pill (%),2.2,4.5,3.6,2.2
Andaman & Nicobar Islands,AN,34. Condom (%),12.1,8.2,9.8,4.2
Andaman & Nicobar Islands,AN,35. Injectables (%),0.5,0.1,0.3,0.0
Andaman & Nicobar Islands,AN,36. Total unmet need7 (%),18.3,10.3,13.5,15.5
Andaman & Nicobar Islands,AN,37. Unmet need for spacing7 (%),8.8,4.3,6.1,8.1
Andaman & Nicobar Islands,AN,38. Health worker ever talked to female non-users about family planning (%),30.1,31.0,30.6,37.2
Andaman & Nicobar Islands,AN,39. Current users ever told about side effects of current method8 (%),88.0,80.5,83.4,66.4
Andaman & Nicobar Islands,AN,40. Mothers who had an antenatal check-up in the first trimester (%),81.2,73.5,77.1,68.4
Andaman & Nicobar Islands,AN,41. Mothers who had at least 4 antenatal care visits (%),86.0,81.0,83.4,92.1
Andaman & Nicobar Islands,AN,42. Mothers whose last birth was protected against neonatal tetanus9 (%),92.8,89.0,90.8,91.8
Andaman & Nicobar Islands,AN,43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),81.2,80.7,80.9,58.4
Andaman & Nicobar Islands,AN,44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),64.8,41.0,52.1,33.7
Andaman & Nicobar Islands,AN,45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,97.9,98.9,97.7
Andaman & Nicobar Islands,AN,46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.4,88.5,88.9,75.0
Andaman & Nicobar Islands,AN,47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),4230.0,2089.0,2924.0,1278.0
Andaman & Nicobar Islands,AN,48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,,,
Andaman & Nicobar Islands,AN,49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.0,91.8,91.0,
Andaman & Nicobar Islands,AN,50. Institutional births (%),99.2,98.7,99.0,96.4
Andaman & Nicobar Islands,AN,51. Institutional births in public facility (%),81.8,92.1,87.3,92.0
Andaman & Nicobar Islands,AN,52. Home births that were conducted by skilled health personnel10 (%),0.0,0.4,0.2,1.0
Andaman & Nicobar Islands,AN,53. Births attended by skilled health personnel10 (%),96.7,97.8,97.3,97.2
Andaman & Nicobar Islands,AN,54. Births delivered by caesarean section (%),40.8,20.2,29.9,19.3
Andaman & Nicobar Islands,AN,55. Births in a private health facility that were delivered by caesarean section (%),,,79.2,
Andaman & Nicobar Islands,AN,56. Births in a public health facility that were delivered by caesarean section (%),33.6,15.8,23.6,16.9
Andaman & Nicobar Islands,AN,57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),72.1,84.8,77.8,73.2
Andaman & Nicobar Islands,AN,58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),,96.8,96.0,84.8
Andaman & Nicobar Islands,AN,59. Children age 12-23 months who have received BCG (%),100.0,95.9,98.2,87.4
Andaman & Nicobar Islands,AN,60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),75.7,87.4,80.9,83.9
Andaman & Nicobar Islands,AN,61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.1,92.1,92.6,83.5
Andaman & Nicobar Islands,AN,62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),79.3,85.5,82.1,76.4
Andaman & Nicobar Islands,AN,63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),34.6,28.6,31.9,
Andaman & Nicobar Islands,AN,64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),0.0,0.7,0.3,
Andaman & Nicobar Islands,AN,65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83.0,88.4,85.4,83.1
Andaman & Nicobar Islands,AN,66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.3,87.2,86.0,76.0
Andaman & Nicobar Islands,AN,67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),90.9,100.0,94.9,94.4
Andaman & Nicobar Islands,AN,68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.7,0.0,3.2,5.6
Andaman & Nicobar Islands,AN,69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,5.1,5.6,5.3
Andaman & Nicobar Islands,AN,70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,65.0,65.0
Andaman & Nicobar Islands,AN,71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,44.1,8.3
Andaman & Nicobar Islands,AN,72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,83.3,53.5
Andaman & Nicobar Islands,AN,73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,3.1,1.7,1.5
Andaman & Nicobar Islands,AN,74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),81.0,64.6,72.7,75.8
Andaman & Nicobar Islands,AN,75. Children under age 3 years breastfed within one hour of birth15 (%),45.8,47.8,46.9,41.9
Andaman & Nicobar Islands,AN,76. Children under age 6 months exclusively breastfed16 (%),,,73.3,66.8
Andaman & Nicobar Islands,AN,77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,,,45.1
Andaman & Nicobar Islands,AN,"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",24.3,12.4,18.5,13.5
Andaman & Nicobar Islands,AN,"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,,,17.6
Andaman & Nicobar Islands,AN,"80. Total children age 6-23 months receiving an adequate diet16, 17  (%)",27.7,10.6,19.5,14.2
Andaman & Nicobar Islands,AN,81. Children under 5 years who are stunted (height-for-age)18 (%),18.2,26.4,22.5,23.3
Andaman & Nicobar Islands,AN,82. Children under 5 years who are wasted (weight-for-height)18 (%),12.8,19.0,16.0,18.9
Andaman & Nicobar Islands,AN,83. Children under 5 years who are severely wasted (weight-for-height)19 (%),5.1,4.6,4.8,7.5
Andaman & Nicobar Islands,AN,84. Children under 5 years who are underweight (weight-for-age)18 (%),15.1,31.1,23.7,21.6
Andaman & Nicobar Islands,AN,85. Children under 5 years who are overweight (weight-for-height)20 (%),5.7,5.2,5.4,3.0
Andaman & Nicobar Islands,AN,86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),11.3,8.2,9.4,13.1
Andaman & Nicobar Islands,AN,87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),7.8,1.6,4.0,8.7
Andaman & Nicobar Islands,AN,88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),41.7,35.7,38.1,31.8
Andaman & Nicobar Islands,AN,89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),37.0,50.6,45.3,38.2
Andaman & Nicobar Islands,AN,90. Women who have high risk waist-to-hip ratio (≥0.85) (%),72.2,80.7,77.3,
Andaman & Nicobar Islands,AN,91. Men who have high risk waist-to-hip ratio (≥0.90) (%),61.3,53.7,56.6,
Andaman & Nicobar Islands,AN,92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),47.8,33.3,40.0,49.0
Andaman & Nicobar Islands,AN,93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),57.4,57.7,57.6,65.8
Andaman & Nicobar Islands,AN,94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),,55.5,53.7,61.4
Andaman & Nicobar Islands,AN,95. All women age 15-49 years who are anaemic22 (%),57.2,57.6,57.5,65.7
Andaman & Nicobar Islands,AN,96. All women age 15-19 years who are anaemic22 (%),44.1,45.5,44.9,68.1
Andaman & Nicobar Islands,AN,97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),9.2,20.4,16.1,30.8
Andaman & Nicobar Islands,AN,98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),,25.6,27.1,43.0
Andaman & Nicobar Islands,AN,99. Blood sugar level - high (141-160 mg/dl)23 (%),8.6,6.7,7.4,
Andaman & Nicobar Islands,AN,100. Blood sugar level - very high (>160 mg/dl)23 (%),9.4,7.3,8.1,
Andaman & Nicobar Islands,AN,101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),19.6,16.2,17.5,
Andaman & Nicobar Islands,AN,102. Blood sugar level - high (141-160 mg/dl)23 (%),9.5,9.1,9.3,
Andaman & Nicobar Islands,AN,103. Blood sugar level - very high (>160 mg/dl)23 (%),8.6,6.6,7.3,
Andaman & Nicobar Islands,AN,104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),19.4,17.1,17.9,
Andaman & Nicobar Islands,AN,105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.6,16.9,15.3,
Andaman & Nicobar Islands,AN,106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),5.0,4.8,4.9,
Andaman & Nicobar Islands,AN,107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.4,26.4,25.3,
Andaman & Nicobar Islands,AN,108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.6,22.1,20.6,
Andaman & Nicobar Islands,AN,109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.5,6.4,6.5,
Andaman & Nicobar Islands,AN,110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),28.2,31.2,30.2,
Andaman & Nicobar Islands,AN,111. Ever undergone a screening test for cervical cancer (%),1.7,2.8,2.4,
Andaman & Nicobar Islands,AN,112. Ever undergone a breast examination for breast cancer (%),0.0,2.6,1.6,
Andaman & Nicobar Islands,AN,113. Ever undergone an oral cavity examination for oral cancer (%),10.0,10.2,10.1,
Andaman & Nicobar Islands,AN,114. Ever undergone an oral cavity examination for oral cancer (%),3.5,4.0,3.8,
Andaman & Nicobar Islands,AN,115. Women who have comprehensive knowledge24 of HIV/AIDS (%),10.1,18.4,14.9,29.3
Andaman & Nicobar Islands,AN,116. Men who have comprehensive knowledge24 of HIV/AIDS (%),36.8,33.4,34.7,44.0
Andaman & Nicobar Islands,AN,117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),81.4,72.5,76.3,59.5
Andaman & Nicobar Islands,AN,118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),67.5,62.2,64.3,75.3
Andaman & Nicobar Islands,AN,119. Currently married women who usually participate in three household decisions25 (%),93.0,95.5,94.5,92.6
Andaman & Nicobar Islands,AN,120. Women who worked in the last 12 months and were paid in cash (%),34.7,17.1,24.6,21.0
Andaman & Nicobar Islands,AN,121. Women owning a house and/or land (alone or jointly with others) (%),10.9,19.4,15.8,29.7
Andaman & Nicobar Islands,AN,122. Women having a bank or savings account that they themselves use (%),88.5,89.8,89.2,81.8
Andaman & Nicobar Islands,AN,123. Women having a mobile phone that they themselves use (%),80.8,80.9,80.8,66.9
Andaman & Nicobar Islands,AN,124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%),98.5,99.1,98.9,90.3
Andaman & Nicobar Islands,AN,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),23.2,13.2,17.2,18.4
Andaman & Nicobar Islands,AN,126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,0.5,0.3,3.2
Andaman & Nicobar Islands,AN,127. Young women age 18-29 years who experienced sexual violence by age 18 (%),1.4,2.2,1.8,2.9
Andaman & Nicobar Islands,AN,128. Women age 15 years and above who use any kind of tobacco (%),15.0,41.1,31.3,
Andaman & Nicobar Islands,AN,129. Men age 15 years and above who use any kind of tobacco (%),44.7,66.4,58.7,
Andaman & Nicobar Islands,AN,130. Women age 15 years and above who consume alcohol (%),0.7,7.6,5.0,
Andaman & Nicobar Islands,AN,131. Men age 15 years and above who consume alcohol (%),33.8,41.9,39.1,
Andhra Pradesh,AP,1. Female population age 6 years and above who ever attended school (%),75.5,61.2,65.6,62.0
Andhra Pradesh,AP,2. Population below age 15 years (%),21.3,22.6,22.2,23.7
